PU,Species,Genus,NRRL,CBS,Other,Hittinger,Cellobiose,Citrate,D-Glucosamine,Fructose,Galactose,Glycerol,L-Arabinose,L-Sorbose,Lactose,Maltose,Mannose,myo-Inositol,Rhamnose,Xylose,Raffinose,Sucrose,DL-Lactate
35684,Kloeckera hatyaiensis,Kloeckera,NA,NA,NA,NA,101.0755121,0,0,157.9901946,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA
34699,Kluyveromyces wickerhamii,Kluyveromyces,NRRL Y-8286 , CBS 2745,NA,NA,0.184391281,NA,0,0.683175988,0.582940277,0.313680757,0,0,0.176839774,0,0.69048885,0,0.088316525,0.297427413,0,0.444820618,0
34700,Kluyveromyces siamensis,Kluyveromyces,NA, CBS 10860,NA,NA,0,0,0,0.394066796,0.346205663,0,0,0,0,0,0.290411956,0,0.090791771,0.117090389,0.123610318,1.099388704,0.099834006
34701,Kluyveromyces nonfermentans,Kluyveromyces,NRRL Y-27343 , CBS 8778,NA,NA,0.516928262,0,0,0,0,0,0,0,0.41018904,0,0.971664724,0,0,0,0,1.095238382,NA
34709,Kluyveromyces aestuarii,Kluyveromyces,NRRL YB-4510 , CBS 4438,NA,NA,0.267516029,0,0,0.334890003,0.28313034,0.201789343,0,0,0.205532934,0.153998025,0.445188281,0,0.044900448,0.085499221,0.289082243,0.802299049,0.045901909
34710,Kluyveromyces dobzhanskii,Kluyveromyces,NRRL Y-1974 , CBS 2104,NA,NA,0.143149727,0.118500784,0.112316524,0.223184903,0.236505663,0.125045989,0,0.133347528,0,0.403153666,1.109405579,0,0.119121672,0.101091462,0.216010882,0.674443449,0
34711,Kluyveromyces lactis var. drosophilarum,Kluyveromyces,NRRL Y-8278 , CBS 2105,NA,NA,0.164062837,0.12236468,0.117766755,0.257517953,0.435800658,0.179649348,0,0.23978775,0,0.175637508,0.916076476,0,0.04831169,0.097652117,0.471340846,0.900682023,0.111929083
34712,Kluyveromyces lactis var. lactis,Kluyveromyces,NRRL Y-8279 , CBS 683,NA,NA,0.236307202,0,0,0.341998829,0.822452678,0.51511983,0,0,0.861368881,0.482152523,0.48360463,0,0.115316315,0.101900993,0.520995302,0.681393805,0
34713,Kluyveromyces marxianus,Kluyveromyces,NRRL Y-8281, CBS 712,NA,NA,0,0,0,0,0.236251049,0,0,0,0,0,1.123651467,0,0,0.178447425,0.292355632,0.731759473,0
38663,Kluyveromyces starmeri,Kluyveromyces,NA,,UFMG-CM-Y3682,yHDO570,0,0.290402304,0,0,0.500030445,0,0,0,0,0,0.842932662,0,0,0,0,0.970366312,0
